City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,La Ronge,CA,55.1001,-105.2842,30.45,80,100,8.05,overcast clouds
80,Talnakh,RU,69.4865,88.3972,18.21,91,100,7.23,overcast clouds
81,Khasan,RU,42.4308,130.6434,40.84,68,40,5.55,scattered clouds
82,Betafo,MG,-19.8333,46.85,58.73,93,10,0.13,clear sky
83,Jamestown,US,42.097,-79.2353,51.39,89,100,13.8,light rain
84,Quelimane,MZ,-17.8786,36.8883,78.75,69,20,5.75,few clouds
85,Provideniya,RU,64.3833,-173.3,23.86,76,88,11.7,overcast clouds
86,Cam Ranh,VN,11.9214,109.1591,80.56,83,20,5.75,few clouds
87,Aswān,EG,24.0934,32.907,91.76,8,0,9.26,clear sky
88,Pangkalanbuun,ID,-2.6833,111.6167,76.77,94,89,2.82,light rain
89,Aksu,CN,41.1231,80.2644,66.0,18,18,6.73,few clouds
90,Geraldton,AU,-28.7667,114.6,57.61,77,0,4.61,clear sky
91,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,4.61,broken clouds
92,Severnoye,RU,56.3491,78.3619,41.76,51,100,10.85,overcast clouds
93,Kahului,US,20.8947,-156.47,75.85,84,40,11.5,scattered clouds
94,Bandar-E Anzali,IR,37.4727,49.4622,62.71,83,96,4.34,overcast clouds
95,Cabo San Lucas,MX,22.8909,-109.9124,80.62,45,20,1.99,few clouds
96,Praia,CV,14.9215,-23.5087,82.94,47,20,14.97,few clouds
97,Dikson,RU,73.5069,80.5464,9.79,98,57,10.67,broken clouds
98,Locri,IT,38.2414,16.2623,65.32,69,100,2.62,overcast clouds
99,Narrabri,AU,-30.3167,149.7833,53.69,87,0,1.99,clear sky
100,Cape Town,ZA,-33.9258,18.4232,65.12,73,0,12.66,clear sky
101,Ancud,CL,-41.8697,-73.8203,55.56,79,72,3.89,broken clouds
102,Traverse City,US,44.7631,-85.6206,59.07,70,100,9.22,overcast clouds
103,Rio Grande,BR,-32.035,-52.0986,71.71,63,33,8.14,scattered clouds
104,College,US,64.8569,-147.8028,47.21,58,75,8.05,broken clouds
105,Mahébourg,MU,-20.4081,57.7,77.29,88,40,1.14,scattered clouds
106,Fort Nelson,CA,58.8053,-122.7002,38.79,75,0,4.61,clear sky
107,Aquiraz,BR,-3.9014,-38.3911,87.89,66,42,11.14,scattered clouds
108,Hilo,US,19.7297,-155.09,73.27,100,100,5.99,heavy intensity rain
109,Mount Isa,AU,-20.7333,139.5,73.17,60,80,11.5,light rain
110,Freeport,US,40.6576,-73.5832,70.47,44,0,11.5,clear sky
111,Berezovyy,RU,51.6667,135.7,26.2,97,95,2.89,overcast clouds
112,Hithadhoo,MV,-0.6,73.0833,85.84,71,76,15.43,moderate rain
113,Hasaki,JP,35.7333,140.8333,52.29,80,100,21.81,overcast clouds
114,Hobyo,SO,5.3505,48.5268,85.87,71,100,16.46,light rain
115,Avarua,CK,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
116,Neiafu,TO,-18.65,-173.9833,81.28,89,20,0.0,few clouds
117,Hobart,AU,-42.8794,147.3294,61.27,74,91,8.05,overcast clouds
118,Yellowknife,CA,62.456,-114.3525,37.92,60,0,12.66,clear sky
119,Yamada,JP,39.4667,141.95,45.07,92,96,4.9,overcast clouds
120,Jacmel,HT,18.2342,-72.5347,82.24,74,100,5.19,overcast clouds
121,Baghlan,AF,36.1307,68.7083,84.22,32,98,5.48,overcast clouds
122,Nanortalik,GL,60.1432,-45.2371,38.66,85,98,8.3,overcast clouds
123,Thompson,CA,55.7435,-97.8558,24.96,80,100,11.5,overcast clouds
124,Barrow,US,71.2906,-156.7887,20.26,94,100,12.19,overcast clouds
125,Port-Cartier,CA,50.0334,-66.8654,50.11,73,51,9.26,broken clouds
126,Sabancuy,MX,18.9667,-91.1833,90.73,52,56,2.95,broken clouds
127,Brae,GB,60.3964,-1.353,48.67,78,78,11.03,broken clouds
128,Smithers,CA,54.7804,-127.1743,43.12,65,100,6.91,overcast clouds
129,Rozivka,UA,46.9385,35.7724,55.71,56,91,4.34,overcast clouds
130,Mar Del Plata,AR,-38.0023,-57.5575,55.87,68,75,14.97,broken clouds
131,Bethel,US,41.3712,-73.414,69.37,37,25,7.0,scattered clouds
132,Magadan,RU,59.5667,150.8,31.69,81,9,2.91,clear sky
133,Aykhal,RU,66.0,111.5,3.18,90,16,6.6,few clouds
134,Longyearbyen,SJ,78.2186,15.6401,15.64,57,75,8.05,broken clouds
135,Torbay,CA,47.6666,-52.7314,53.28,83,75,12.66,broken clouds
136,Poum,NC,-20.2333,164.0167,77.04,79,10,4.68,clear sky
137,Suntar,RU,62.1444,117.6319,26.47,81,100,13.18,overcast clouds
138,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,40,1.14,scattered clouds
139,Katsuura,JP,35.1333,140.3,53.82,88,100,16.78,overcast clouds
140,Te Anau,NZ,-45.4167,167.7167,47.25,92,39,2.53,scattered clouds
141,Rocha,UY,-34.4833,-54.3333,62.56,50,4,13.44,clear sky
142,Kampong Chhnang,KH,12.1667,104.55,77.83,90,100,2.53,light rain
143,Xalapa,MX,19.5333,-96.9167,78.78,51,86,6.29,overcast clouds
144,Ōdachō-Ōda,JP,35.1833,132.5,48.0,65,34,8.23,scattered clouds
145,Lavrentiya,RU,65.5833,-171.0,11.62,90,49,10.4,scattered clouds
146,Tiarei,PF,-17.5333,-149.3333,75.22,74,74,7.58,broken clouds
147,Carnarvon,AU,-24.8667,113.6333,69.87,68,0,9.22,clear sky
148,Atuona,PF,-9.8,-139.0333,78.67,77,58,13.71,broken clouds
149,Loei,TH,17.4167,101.5,64.89,96,91,5.06,overcast clouds
150,Gerāsh,IR,27.6652,54.1371,84.34,31,0,9.06,clear sky
151,Gorontalo,ID,0.5412,123.0595,75.97,95,76,2.42,broken clouds
152,Turnov,CZ,50.5836,15.1519,64.42,54,100,0.2,overcast clouds
153,Vardø,NO,70.3705,31.1107,28.42,60,86,4.45,overcast clouds
154,Kalmunai,LK,7.4167,81.8167,82.72,78,99,5.55,overcast clouds
155,Sefophe,BW,-22.1833,27.9667,66.74,60,61,8.66,broken clouds
156,Baft,IR,29.234,56.6057,61.88,24,47,7.25,scattered clouds
157,Cidreira,BR,-30.1811,-50.2056,64.2,86,100,7.4,overcast clouds
158,Jizan,SA,17.3333,42.6667,90.54,56,43,6.89,scattered clouds
159,Inírida,CO,3.8653,-67.9239,84.11,72,86,3.0,overcast clouds
160,Pisco,PE,-13.7,-76.2167,69.03,77,0,8.05,clear sky
161,Saint George,US,37.1041,-113.5841,76.62,15,0,10.0,clear sky
162,Sorong,ID,-0.8833,131.25,79.9,85,62,6.82,broken clouds
